"","Operator","count","Fatal","Ratio"
"1","Aeroflot",179,7156,0.806764374295378
"2","Air France",67,1729,0.601600556715379
"3","Deutsche Lufthansa",65,396,0.776470588235294
"4","Air Taxi",44,161,0.914772727272727
"5","United Air Lines",44,1021,0.415040650406504
"6","Pan American World Airways",40,1301,0.462660028449502
"7","China National Aviation Corporation",37,322,0.86096256684492
"8","American Airlines",36,1421,0.688802714493456
"9","US Aerial Mail Service",36,40,0.930232558139535
"10","Indian Airlines",34,863,0.593943565037853
"11","Philippine Air Lines",33,455,0.265771028037383
"12","KLM Royal Dutch Airlines",32,615,0.822192513368984
"13","Private",31,123,0.866197183098592
"14","Aeropostale",26,52,0.88135593220339
"15","British Overseas Airways",25,506,0.66754617414248
"16","Eastern Air Lines",25,710,0.522058823529412
"17","Northwest Orient Airlines",25,531,0.816923076923077
"18","AVIANCA",24,941,0.881911902530459
"19","Sabena",24,401,0.815040650406504
"20","Imperial Airways",22,185,0.680147058823529
"21","Garuda Indonesia Airlines",19,574,0.476744186046512
"22","British European Airways",18,512,0.881239242685026
"23","Trans Continental and Western Air",18,142,0.775956284153005
"24","VASP",18,378,0.573596358118361
"25","Trans World Airlines",17,784,0.49714648065948
"26","Ceskoslovenske Aerolinie",16,516,0.840390879478827
"27","Merpati Nusantara Airlines",16,268,0.708994708994709
"28","Varig",16,417,0.642526964560863
"29","Cubana de Aviacion",15,486,0.837931034482759
"30","Linea Aeropostal Venezolana",15,313,0.841397849462366
"31","Pakistan International Airlines",15,693,0.877215189873418
"32","China Airlines (Taiwan)",14,847,0.532704402515723
"33","Cruzeiro",14,213,0.676190476190476
"34","Turkish Airlines (THY)",14,891,0.924273858921162
"35","Ethiopian Airlines",13,223,0.547911547911548
"36","Qantas",13,89,0.717741935483871
"37","Aerolineas Argentinas",12,340,0.772727272727273
"38","Delta Air Lines",12,299,0.517301038062284
"39","Iberia Airlines",12,483,0.909604519774011
"40","LOT Polish Airlines",12,417,0.834
"41","Panair do Brasil",12,266,0.917241379310345
"42","Tarom",12,194,0.518716577540107
"43","Air America",11,116,0.720496894409938
"44","Air Vietnam (South Vietnam)",11,434,0.842718446601942
"45","Burma Airways",11,250,0.819672131147541
"46","Commercial Air Taxi",11,33,0.970588235294118
"47","Flying Tiger Line",11,174,0.756521739130435
"48","Mexicana",11,290,0.714285714285714
"49","SATENA",11,201,0.934883720930233
"50","Swissair",11,411,0.730017761989343
"51","Air India",10,827,0.892125134843581
"52","Braniff Airlines",10,216,0.821292775665399
"53","Canadian PacifiAir Lines",10,234,0.659154929577465
"54","Faucett",10,213,0.930131004366812
"55","Grands Express Aeriens",10,24,1
"56","Korean Airlines",10,713,0.492063492063492
"57","TACA",10,95,0.590062111801242
"58","United Arab Airlines",10,337,0.985380116959064
"59","Air Union",9,17,0.80952380952381
"60","Alaska Airlines",9,231,0.767441860465116
"61","American Airways",9,34,0.944444444444444
"62","Ariana Afghan Airlines",9,254,0.673740053050398
"63","Aviaco",9,200,0.881057268722467
"64","Balkan Bulgarian Airlines",9,346,0.625678119349005
"65","EgyptAir",9,406,0.812
"66","Japan Air Lines",9,764,0.69835466179159
"67","Lloyd Aereo Boliviano",9,281,1
"68","National Air Transport",9,10,1
"69","Western Airlines",9,135,0.625
"70","Alitalia",8,458,0.916
"71","British Airways",8,13,0.0254901960784314
"72","CAAC",8,251,0.489278752436647
"73","Capital Airlines",8,187,0.434883720930233
"74","Continental Airlines",8,83,0.124624624624625
"75","JAT Yugoslav Airlines",8,136,0.727272727272727
"76","Kalinga Airlines",8,43,0.977272727272727
"77","National Airlines",8,164,0.396135265700483
"78","REAL",8,145,0.674418604651163
"79","Royal Nepal Airlines",8,102,0.662337662337662
"80","TAM (Bolivia)",8,156,0.962962962962963
"81","Varney Air Lines",8,11,1
"82","Australian National Airways",7,78,0.795918367346939
"83","Avensa",7,93,0.699248120300752
"84","Malev Hungarian Airlines",7,227,0.897233201581028
"85","Misrair",7,78,0.757281553398058
"86","Talair",7,56,0.64367816091954
"87","TAME",7,306,0.974522292993631
"88","Thai Airways",7,358,0.809954751131222
"89","Trans Canada Air Lines",7,212,0.806083650190114
"90","Air Canada",6,138,0.388732394366197
"91","All Nippon Airways",6,224,0.290909090909091
"92","Allegheny Airlines",6,87,0.416267942583732
"93","Aviateca",6,145,0.792349726775956
