"","Operator","count","Fatal","Ratio"
"1","Aeroflot",179,7156,0.806764374295378
"2","Military - U.S. Air Force",176,3717,0.825633051976899
"3","Air France",67,1729,0.601600556715379
"4","Deutsche Lufthansa",65,396,0.776470588235294
"5","Air Taxi",44,161,0.914772727272727
"6","United Air Lines",44,1021,0.415040650406504
"7","Military - U.S. Army Air Forces",43,1070,0.972727272727273
"8","Pan American World Airways",40,1301,0.462660028449502
"9","China National Aviation Corporation",37,322,0.86096256684492
"10","American Airlines",36,1421,0.688802714493456
"11","Military - Royal Air Force",36,525,0.945945945945946
"12","Military - U.S. Navy",36,767,0.901292596944771
"13","US Aerial Mail Service",36,40,0.930232558139535
"14","Indian Airlines",34,863,0.593943565037853
"15","Philippine Air Lines",33,455,0.265771028037383
"16","KLM Royal Dutch Airlines",32,615,0.822192513368984
"17","Private",31,123,0.866197183098592
"18","Aeropostale",26,52,0.88135593220339
"19","British Overseas Airways",25,506,0.66754617414248
"20","Eastern Air Lines",25,710,0.522058823529412
"21","Northwest Orient Airlines",25,531,0.816923076923077
"22","AVIANCA",24,941,0.881911902530459
"23","Sabena",24,401,0.815040650406504
"24","Military - U.S. Army",23,498,0.769706336939722
"25","Imperial Airways",22,185,0.680147058823529
"26","Military -Royal Air Force",22,524,0.986817325800377
"27","Garuda Indonesia Airlines",19,574,0.476744186046512
"28","British European Airways",18,512,0.881239242685026
"29","Trans Continental and Western Air",18,142,0.775956284153005
"30","VASP",18,378,0.573596358118361
"31","Trans World Airlines",17,784,0.49714648065948
"32","Ceskoslovenske Aerolinie",16,516,0.840390879478827
"33","Merpati Nusantara Airlines",16,268,0.708994708994709
"34","Military - Indian Air Force",16,442,0.995495495495496
"35","Varig",16,417,0.642526964560863
"36","Cubana de Aviacion",15,486,0.837931034482759
"37","Linea Aeropostal Venezolana",15,313,0.841397849462366
"38","Military - Afghan Republican Air Force",15,578,1
"39","Military - German Navy",15,313,0.92330383480826
"40","Pakistan International Airlines",15,693,0.877215189873418
"41","China Airlines (Taiwan)",14,847,0.532704402515723
"42","Cruzeiro",14,213,0.676190476190476
"43","Military - Russian Air Force",14,797,0.96256038647343
"44","Turkish Airlines (THY)",14,891,0.924273858921162
"45","Ethiopian Airlines",13,223,0.547911547911548
"46","Military - U.S. Marine Corps",13,362,0.859857482185273
"47","Qantas",13,89,0.717741935483871
"48","Aerolineas Argentinas",12,340,0.772727272727273
"49","Delta Air Lines",12,299,0.517301038062284
"50","Iberia Airlines",12,483,0.909604519774011
"51","LOT Polish Airlines",12,417,0.834
"52","Panair do Brasil",12,266,0.917241379310345
"53","Tarom",12,194,0.518716577540107
"54","Air America",11,116,0.720496894409938
"55","Air Vietnam (South Vietnam)",11,434,0.842718446601942
"56","Burma Airways",11,250,0.819672131147541
"57","Commercial Air Taxi",11,33,0.970588235294118
"58","Flying Tiger Line",11,174,0.756521739130435
"59","Mexicana",11,290,0.714285714285714
"60","Military - Royal Australian Air Force",11,185,0.973684210526316
"61","SATENA",11,201,0.934883720930233
"62","Swissair",11,411,0.730017761989343
"63","Air India",10,827,0.892125134843581
"64","Braniff Airlines",10,216,0.821292775665399
"65","Canadian PacifiAir Lines",10,234,0.659154929577465
"66","Faucett",10,213,0.930131004366812
"67","Grands Express Aeriens",10,24,1
"68","Korean Airlines",10,713,0.492063492063492
"69","Military - Brazilian Air Force",10,193,0.881278538812785
"70","TACA",10,95,0.590062111801242
"71","United Arab Airlines",10,337,0.985380116959064
"72","Air Union",9,17,0.80952380952381
"73","Alaska Airlines",9,231,0.767441860465116
"74","American Airways",9,34,0.944444444444444
"75","Ariana Afghan Airlines",9,254,0.673740053050398
"76","Aviaco",9,200,0.881057268722467
"77","Balkan Bulgarian Airlines",9,346,0.625678119349005
"78","EgyptAir",9,406,0.812
"79","Japan Air Lines",9,764,0.69835466179159
"80","Lloyd Aereo Boliviano",9,281,1
"81","Military - French Air Force",9,186,0.984126984126984
"82","Military - Soviet Air Force",9,268,0.996282527881041
"83","National Air Transport",9,10,1
"84","Western Airlines",9,135,0.625
"85","Alitalia",8,458,0.916
"86","British Airways",8,13,0.0254901960784314
"87","CAAC",8,251,0.489278752436647
"88","Capital Airlines",8,187,0.434883720930233
"89","Continental Airlines",8,83,0.124624624624625
"90","JAT Yugoslav Airlines",8,136,0.727272727272727
"91","Kalinga Airlines",8,43,0.977272727272727
"92","National Airlines",8,164,0.396135265700483
"93","REAL",8,145,0.674418604651163
"94","Royal Nepal Airlines",8,102,0.662337662337662
"95","TAM (Bolivia)",8,156,0.962962962962963
"96","Varney Air Lines",8,11,1
"97","Australian National Airways",7,78,0.795918367346939
"98","Avensa",7,93,0.699248120300752
"99","Malev Hungarian Airlines",7,227,0.897233201581028
"100","Military - Angolan Air Force",7,211,0.972350230414747
"101","Military - Philippine Air Force",7,194,0.950980392156863
"102","Military - Sri Lanka Air Force",7,273,1
"103","Misrair",7,78,0.757281553398058
"104","Talair",7,56,0.64367816091954
"105","TAME",7,306,0.974522292993631
"106","Thai Airways",7,358,0.809954751131222
"107","Trans Canada Air Lines",7,212,0.806083650190114
"108","Air Canada",6,138,0.388732394366197
"109","All Nippon Airways",6,224,0.290909090909091
"110","Allegheny Airlines",6,87,0.416267942583732
"111","Aviateca",6,145,0.792349726775956
"112","Boeing Air Transport",6,6,0.666666666666667
"113","British South American Airways",6,95,0.805084745762712
"114","CIDNA",6,17,0.944444444444444
"115","Colonial Air Transport",6,9,0.391304347826087
"116","Far Eastern Air Transport",6,208,0.709897610921502
"117","Fuerza Aí©rea del Peru",6,244,0.841379310344828
"118","Iran Air",6,343,0.812796208530806
"119","LAN",6,156,0.652719665271967
"120","Military - Argentine Air Force",6,228,1
"121","Military - Japan Maritime Self Defense Force",6,69,0.958333333333333
"122","Military - Pakistan Air Force",6,102,1
"123","Military - Royal Canadian Air Force",6,89,0.872549019607843
"124","PacifiAir Transport",6,14,0.875
"125","Pelita Air Service",6,67,0.827160493827161
"126","Saudi Arabian Airlines",6,349,0.5453125
"127","Scandinavian Airlines (SAS)",6,116,0.256637168141593
"128","Slick Airways",6,16,0.761904761904762
"129","South African Airways",6,336,0.971098265895954
"130","Spantax",6,247,0.410981697171381
"131","TAM (Brazil)",6,310,0.635245901639344
"132","Aero Transporti Italiani",5,114,0.76510067114094
"133","Aeronaves de Mexico",5,76,0.424581005586592
"134","Aigle Azur",5,110,0.94017094017094
"135","Air Algerie",5,187,0.91219512195122
"136","Air Orient",5,17,0.739130434782609
"137","Austral Lineas Aeras (Argentina)",5,224,0.868217054263566
"138","Cathay PacifiAirways",5,140,0.509090909090909
"139","Civil Air Transport",5,152,0.684684684684685
"140","Dirgantara Air Services",5,46,0.793103448275862
"141","Formosa Airlines",5,53,0.815384615384615
"142","LANSA",5,141,0.992957746478873
"143","Linee Aeree Italiane",5,107,0.93859649122807
"144","Lufthansa",5,146,0.463492063492064
"145","MIAT - Mongolian Airlines",5,147,0.96078431372549
"146","Military - Chinese Air Force",5,125,1
"147","Military - Indonesian Air Force",5,285,0.95
"148","Military - Iranian Air Force",5,295,1
"149","Military - Nicaraguan Air Force",5,165,0.964912280701754
"150","Military - Royal Thai Air Force",5,104,0.945454545454545
"151","Military - Vietnamese Air Force",5,190,1
"152","New Zealand National Airways",5,56,0.691358024691358
"153","Northeast Airlines",5,91,0.4375
"154","PacifiWestern Airlines",5,59,0.728395061728395
"155","Pan American Airways",5,33,0.55
"156","Sudan Airways",5,223,0.507972665148064
"157","Syndicato Condor",5,36,0.818181818181818
"158","TAAG Angola Airlines",5,157,0.670940170940171
