"","Time","count","Fatal","Ratio"
"1",0,63,1641,0.866877971473851
"2",1,67,1998,0.763177998472116
"3",2,80,2143,0.781546316557257
"4",3,49,1094,0.795636363636364
"5",4,65,1692,0.815814850530376
"6",5,60,1243,0.79935691318328
"7",6,85,1963,0.692660550458716
"8",7,132,3544,0.738333333333333
"9",8,141,3464,0.756827616342582
"10",9,186,3547,0.63669000179501
"11",10,167,4359,0.799963296017618
"12",11,171,4112,0.698844323589395
"13",12,165,3295,0.651057103339261
"14",13,157,3256,0.611340593315809
"15",14,167,4410,0.782469836763662
"16",15,171,4378,0.735551075268817
"17",16,157,3662,0.667030965391621
"18",17,156,3645,0.742665036674817
"19",18,147,4586,0.72345795866856
"20",19,181,4637,0.786865772950959
"21",20,154,4435,0.728961209730441
"22",21,108,2753,0.710635002581311
"23",22,106,2462,0.78809218950064
"24",23,111,3053,0.669077361385054
