"","Date","Time","Location","Operator","Type","Aboard","Fatalities","Ground","Summary","death_ratio"
"2",1913-08-06,"","Victoria, British Columbia, Canada","Private","Curtiss seaplane",1,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",1
"3",1913-09-09,"18:30","Over the North Sea","Military - German Navy","Zeppelin L-1 (airship)",20,14,0,"The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.",0.7
"4",1913-10-17,"10:30","Near Johannisthal, Germany","Military - German Navy","Zeppelin L-2 (airship)",30,30,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",1
"5",1915-03-05,"1:00","Tienen, Belgium","Military - German Navy","Zeppelin L-8 (airship)",41,21,0,"Crashed into trees while attempting to land after being shot down by British and French aircraft.",0.51219512195122
"6",1915-09-03,"15:20","Off Cuxhaven, Germany","Military - German Navy","Zeppelin L-10 (airship)",19,19,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",1
"7",1916-07-28,"","Near Jambol, Bulgeria","Military - German Army","Schutte-Lanz S-L-10 (airship)",20,20,0,"Crashed near the Black Sea, cause unknown.",1
"8",1916-09-24,"1:00","Billericay, England","Military - German Navy","Zeppelin L-32 (airship)",22,22,0,"Shot down by British aircraft crashing in flames.",1
"9",1916-10-01,"23:45","Potters Bar, England","Military - German Navy","Zeppelin L-31 (airship)",19,19,0,"Shot down in flames by the British 39th Home Defence Squadron.",1
"10",1916-11-21,"","Mainz, Germany","Military - German Army","Super Zeppelin (airship)",28,27,0,"Crashed in a storm.",0.964285714285714
"11",1916-11-28,"23:45","Off West Hartlepool, England","Military - German Navy","Zeppelin L-34 (airship)",20,20,0,"Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.",1
"12",1917-03-04,"","Near Gent, Belgium","Military - German Army","Airship",20,20,0,"Caught fire and crashed.",1
"13",1917-03-30,"","Off Northern Germany","Military - German Navy","Schutte-Lanz S-L-9 (airship)",23,23,0,"Struck by lightning and crashed into the BaltiSea.",1
"14",1917-05-14,"5:15","Near Texel Island, North Sea","Military - German Navy","Zeppelin L-22 (airship)",21,21,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",1
"15",1917-06-14,"8:45","Off Vlieland Island, North Sea","Military - German Navy","Zeppelin L-43 (airship)",24,24,0,"Shot down by British aircraft.",1
"16",1917-08-21,"7:00","Off western Denmark","Military - German Navy","Zeppelin L-23 (airship)",18,18,0,"Shot down by British aircraft.",1
"17",1917-10-20,"7:45","Near Luneville, France","Military - German Navy","Zeppelin L-44 (airship)",18,18,0,"Shot down by French anti-aircraft fire.",1
"18",1918-04-07,"21:30","Over the Mediterranean","Military - German Navy","Zeppelin L-59 (airship)",23,23,0,"Exploded and crashed into the sea off the southern coast of Italy.",1
"19",1918-05-10,"","Off Helgoland Island, Germany","Military - German Navy","Zeppelin L-70 (airship)",22,22,0,"Shot down by British aircraft crashing from a height of 17,000 ft.",1
"20",1918-08-11,"10:00","Ameland Island, North Sea","Military - German Navy","Zeppelin L-53 (airship)",19,19,0,"Shot down by british aircraft.",1
"21",1918-12-16,"","Elizabeth, New Jersey","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"22",1919-05-25,"","Cleveland, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0,"Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.",1
"23",1919-07-19,"","Dix Run, Pennsylvania","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"24",1919-10-02,"","Newcastle, England","Aircraft Transport and Travel","De Havilland DH-4",1,1,0,"",1
"25",1919-10-14,"","Cantonsville, Maryland","US Aerial Mail Service","Curtiss R-4LM",1,1,0,"",1
"26",1919-10-30,"","Long Valley, New Jersey","US Aerial Mail Service","De Havilland DH.4",1,1,0,"",1
"27",1920-03-10,"","New Paris, Indiana","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"28",1920-03-30,"","Newark, New Jersey","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"29",1920-04-10,"","Newark, New Jersey","US Aerial Mail Service","Curtiss R-4LM",2,1,0,"",0.5
"30",1920-04-11,"","Heller Field, New Jersey","US Aerial Mail Service","Curtiss JN-4H",2,1,0,"",0.5
"31",1920-05-12,"","Oskaloosa, Iowa","US Aerial Mail Service","De Havilland DH-4",2,1,0,"",0.5
"32",1920-06-06,"","Cleveland, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"33",1920-08-16,"","Bedford, England","By Air","Armstrong-Whitworth F-K-8",1,1,0,"",1
"34",1920-08-16,"","College Park, Maryland","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"35",1920-09-01,"","Morristown, New Jersey","US Aerial Mail Service","Junkers JL-6",2,2,0,"",1
"36",1920-09-15,"","Pemberville, Ohio","US Aerial Mail Service","Junkers F-13",2,2,0,"",1
"37",1920-09-27,"","Hillersburg, Pennsylvania","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"38",1920-10-02,"","Off Port Vendres, France","Latecoere Airlines","Salmson 2-A-2",2,2,0,"",1
"39",1920-10-05,"","Valencia, Spain","Latecoere Airlines","Breguet 14",2,2,0,"Crashed while landing.",1
"40",1920-10-15,"","Batavia, Illinois","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"41",1920-11-07,"","Tie Siding, Wyoming","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"42",1920-12-14,"","Cricklewood, England","Handley Page Transport","Handley Page HP-16",8,4,0,"Crashed into a tree on take off in fog.",0.5
"43",1920-12-24,"","Barcelona, Spain","Aeropostale","Breguet 14",1,1,0,"",1
"44",1921-02-03,"","Mendotta, Minnisota","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"45",1921-02-09,"","La Crosse, Wisconsin","US Aerial Mail Service","Junkers F-13",3,3,0,"",1
"46",1921-02-15,"","Off Gibraltar","Aeropostale","Breguet 14",2,2,0,"",1
"47",1921-02-22,"","Elko, Nevada","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"48",1921-04-06,"","Point Cook, Australia","Military - Royal Australian Air Force","",2,1,0,"",0.5
"49",1921-04-21,"","Mitchel Field, NY","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"50",1921-04-29,"","Cleveland, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"51",1921-05-17,"","Rock Springs, Wyoming","US Aerial Mail Service","",1,1,0,"",1
"52",1921-07-16,"","San Francisco, California","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"53",1921-08-14,"","Toulouse, France","Aeropostale","Breguet 14",2,2,0,"",1
"54",1921-08-24,"17:40","River Humber, England","Military - Royal Airship Works","Royal Airship Works ZR-2 (airship)",46,46,1,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.",1
"55",1921-09-06,"","Paris, France","Franco-Roumaine","Potez IX",5,5,0,"Crashed while making an approach to Le Bourget Airport in Paris.",1
"56",1921-12-05,"","Near Murchinson River, Australia","West Australian Airways","Bristol 28 Tourer",3,3,0,"",1
"57",1922-01-14,"","Paris, France","Handley Page Transport","Handley Page O/10",5,5,5,"Crashed at Le Bourget field.",1
"58",1922-02-21,"","Near Norfolk, Virginia","Military - U.S. Army Air Service","Dirigible Roma (airship)",45,34,0,"Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.",0.755555555555556
"59",1922-04-07,"","Grandvilliers, France","Daimler Airways / Grands Express Aeriens","de Havilland DH-18 / Farman F-60 Goliath",7,7,0,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",1
"60",1922-04-08,"","Pao Ting Fou, China","","",17,17,0,"All seventeen aboard were Chinese nationals.",1
"61",1922-04-13,"","Brooklands, England","Vickers","Vickers Viking",3,3,0,"",1
"62",1925-10-01,"","Nittany Mt, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"63",1922-06-03,"","Off Folkestone, Kent, England","Cie des Messageries Aeriennes","Bleriot Spad 27",3,3,0,"",1
"64",1922-07-26,"","Cadix, Spain","Grands Express Aeriens","Breguet 14",3,3,0,"",1
"65",1922-09-07,"","Indianapolis, Indiana","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"66",1922-10-02,"","Venice, Italy","","de Havilland DH-9",4,4,0,"",1
"67",1922-10-25,"","Larache, Morocco","Grands Express Aeriens","Breguet 14",2,2,0,"",1
"68",1922-12-03,"","Fez, Morocco","Grands Express Aeriens","Breguet 14",1,1,0,"",1
"69",1923-01-10,"","Ajaccio, France","Amee de l'Air","Liorթ-et-Olivier H-13",4,3,0,"",0.75
"70",1923-01-17,"","Barcelona, Spain","Grands Express Aeriens","Breguet 14",1,1,0,"",1
"71",1923-01-18,"","Cheyenne, Wyoming","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"72",1923-02-26,"","Meadville, Pennsylvania","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"73",1923-05-14,"","Monsures, France","Grands Express Aeriens","Farman F-60 Goliath",6,6,0,"",1
"74",1923-08-27,"","Bucharest, Romania","Campagnie France Roumaine","Blթriot Spad 46",2,2,0,"",1
"75",1923-09-07,"","Colton, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"76",1923-09-14,"","Berks, England","Daimler Airways","de Havilland DH-34",6,6,0,"",1
"77",1923-11-18,"","Russia","CCCP","Junkers F-13",4,2,0,"",0.5
"78",1923-12-06,"","Castalia, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"79",1923-12-23,"2:30","Over the Mediterranean Sea","Military - French Navy","Zeppelin Dixmunde (airship)",52,52,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",1
"80",1923-12-24,"","Egbert, WY","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"81",1924-03-07,"","Grampian, Pennsylvania","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"82",1924-04-24,"","Over the English Channel","KLM Royal Dutch Airlines","Fokker F.III",3,3,0,"",1
"83",1924-06-08,"","Barranquilla, Colombia","SCADTA","Junkers F-13",3,3,0,"",1
"84",1924-08-01,"","United States","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"85",1924-11-06,"","Cabrerolles, France","Grands Express Aeriens","",1,1,0,"",1
"86",1924-12-21,"","Goshen, Indiana","US Aerial Mail Service","De Havilland DH-4",1,1,0,"",1
"87",1924-12-24,"","Purley, England","Imperial Airways","de Havilland DH-34B",8,8,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.",1
"88",1925-03-22,"","Near Tiflies, Georgia, USSR","Zakavia","Junkers F-13",5,5,0,"",1
"89",1925-04-25,"","Alicante, Spain","Grands Express Aeriens","Breguet 14",4,4,0,"",1
"90",1925-05-25,"","Alicante, Spain","Lignes Aeriennes Latecoere","Breguet 14",2,2,0,"",1
"91",1925-06-25,"","Landrթcies, France","KLM Royal Dutch Airlines","Fokker (KLM)  F.III",4,4,0,"Crashed in poor weather.",1
"92",1925-06-26,"","Alicante, Spain","Grands Express Aeriens","Liorթ-et-Olivier H-13",2,2,0,"",1
"93",1925-07-20,"","Rosas, Spain","Lignes Aeriennes Latecoere","Breguet 14",1,1,0,"",1
